epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,60.5499,0.27375,0.26269,0.8428,0.98529,0.98942,0.9888,0.98267,0.1784,0.19834,0.78245,0.000605051,0.000605051,0.000605051
25,62.8647,0.26689,0.26711,0.83352,0.98859,0.98506,0.9879,0.98064,0.16976,0.19261,0.77831,0.000583053,0.000583053,0.000583053
26,65.369,0.26722,0.25362,0.84411,0.9912,0.98579,0.98971,0.9825,0.1675,0.18238,0.7803,0.000561055,0.000561055,0.000561055
27,67.6984,0.26334,0.25311,0.84516,0.9859,0.98865,0.98922,0.98402,0.17033,0.18904,0.77902,0.000539057,0.000539057,0.000539057
28,70.0102,0.26163,0.24909,0.83895,0.98547,0.98354,0.98864,0.98428,0.1512,0.18668,0.77725,0.000517059,0.000517059,0.000517059
29,72.3533,0.25971,0.24812,0.84004,0.98447,0.98357,0.99045,0.98649,0.15571,0.179,0.77727,0.000495062,0.000495062,0.000495062
30,74.6486,0.26205,0.24671,0.84164,0.97589,0.9884,0.9908,0.9878,0.15466,0.19503,0.77735,0.000473064,0.000473064,0.000473064
31,76.9666,0.24981,0.22981,0.84332,0.9836,0.98257,0.99137,0.98898,0.13667,0.17118,0.77508,0.000451066,0.000451066,0.000451066
32,79.3048,0.24632,0.24125,0.84299,0.98774,0.98381,0.99162,0.98762,0.14136,0.17308,0.77552,0.000429068,0.000429068,0.000429068
33,81.622,0.23401,0.22399,0.8298,0.98328,0.97532,0.98977,0.98572,0.15,0.17514,0.77611,0.00040707,0.00040707,0.00040707
34,84.1485,0.23943,0.22469,0.83178,0.98597,0.98074,0.99062,0.98899,0.13303,0.16746,0.77402,0.000385073,0.000385073,0.000385073
35,86.4688,0.23927,0.22073,0.8381,0.98324,0.98108,0.99046,0.98827,0.13103,0.16195,0.77214,0.000363075,0.000363075,0.000363075
36,88.7811,0.24165,0.23692,0.84271,0.97928,0.99379,0.9922,0.98939,0.13021,0.15099,0.77229,0.000341077,0.000341077,0.000341077
37,91.1143,0.22562,0.22652,0.82622,0.98914,0.98148,0.9917,0.98875,0.12318,0.14805,0.77237,0.000319079,0.000319079,0.000319079
38,93.4376,0.22546,0.22136,0.84016,0.98003,0.97943,0.99061,0.98646,0.12308,0.15437,0.77275,0.000297081,0.000297081,0.000297081
39,95.7496,0.22904,0.22879,0.83682,0.97382,0.99399,0.99172,0.98811,0.13071,0.15564,0.77323,0.000275084,0.000275084,0.000275084
40,98.0788,0.22574,0.21188,0.8443,0.98916,0.98946,0.99249,0.98865,0.12232,0.14776,0.77191,0.000253086,0.000253086,0.000253086
41,112.678,0.16616,0.17559,0.78153,0.98554,0.9904,0.99275,0.98784,0.13108,0.14739,0.77221,0.000231088,0.000231088,0.000231088
42,115.196,0.15991,0.17173,0.78955,0.98425,0.99083,0.99238,0.9885,0.11944,0.14703,0.77037,0.00020909,0.00020909,0.00020909
43,117.541,0.14735,0.16366,0.76929,0.98999,0.98823,0.99252,0.98989,0.11803,0.14711,0.77026,0.000187092,0.000187092,0.000187092
44,119.833,0.14862,0.15634,0.7827,0.98896,0.98779,0.99265,0.98941,0.11368,0.14025,0.77006,0.000165095,0.000165095,0.000165095
45,122.158,0.14884,0.15608,0.78408,0.99102,0.98614,0.99249,0.98963,0.1096,0.14148,0.76958,0.000143097,0.000143097,0.000143097
46,124.477,0.14408,0.15214,0.78243,0.98829,0.98351,0.99175,0.98829,0.10605,0.14122,0.76944,0.000121099,0.000121099,0.000121099
47,126.79,0.14056,0.15038,0.77725,0.98225,0.9907,0.99165,0.98883,0.10357,0.13844,0.76921,9.91012e-05,9.91012e-05,9.91012e-05
48,129.096,0.13781,0.14813,0.77971,0.99391,0.98742,0.99175,0.98965,0.10539,0.13603,0.76948,7.71034e-05,7.71034e-05,7.71034e-05
49,131.424,0.13516,0.14241,0.79026,0.99383,0.98732,0.99215,0.98949,0.09968,0.13371,0.76898,5.51056e-05,5.51056e-05,5.51056e-05
50,133.727,0.12507,0.13144,0.77284,0.99395,0.98767,0.99215,0.98977,0.09797,0.1304,0.76893,3.31078e-05,3.31078e-05,3.31078e-05
